Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-09-23 00:49:48,2024-09-24 00:01:55,UTC-07:00,2024-09-23 21:28:30,2024-09-23 21:49:29,20,Weightlifting,5.2,98.0,139,111,50,47,3,0,0,false,,,
2024-09-23 00:49:48,2024-09-24 00:01:55,UTC-07:00,2024-09-23 19:18:00,2024-09-23 20:58:29,100,Rock Climbing,12.7,748.0,163,126,8,50,39,3,0,false,,,
2024-09-23 00:49:48,2024-09-24 00:01:55,UTC-07:00,2024-09-23 15:18:00,2024-09-23 15:30:00,12,Walking,4.5,43.0,144,104,54,30,5,0,0,false,,,
2024-09-21 23:29:12,2024-09-23 00:49:48,UTC-07:00,2024-09-22 21:07:30,2024-09-22 22:14:59,67,Basketball,12.3,526.0,177,128,18,39,25,17,1,false,,,
2024-09-21 23:29:12,2024-09-23 00:49:48,UTC-07:00,2024-09-22 19:49:30,2024-09-22 20:53:59,64,Weightlifting,8.2,333.0,151,114,31,52,13,0,0,false,,,
2024-09-20 01:04:53,2024-09-21 00:06:15,UTC-07:00,2024-09-20 19:24:00,2024-09-20 21:20:59,116,Rock Climbing,15.9,1143.0,177,138,2,20,58,19,1,false,,,
2024-09-18 23:57:30,2024-09-20 01:04:53,UTC-07:00,2024-09-19 12:09:00,2024-09-19 13:40:29,91,Basketball,15.3,818.0,177,133,17,31,8,42,1,false,,,
2024-09-18 02:11:55,2024-09-18 23:57:30,UTC-07:00,2024-09-18 15:01:30,2024-09-18 15:41:59,40,Weightlifting,11.4,219.0,152,114,29,58,11,0,0,false,,,
2024-09-16 02:48:50,2024-09-17 00:43:27,UTC-07:00,2024-09-16 20:31:30,2024-09-16 21:52:29,80,Powerlifting,10.5,537.0,152,121,13,68,19,0,0,false,,,
2024-09-14 02:04:33,2024-09-15 02:38:13,UTC-07:00,2024-09-14 18:15:00,2024-09-14 18:56:59,41,Golf,8.9,336.0,152,128,4,46,50,0,0,false,,,
2024-09-13 01:52:36,2024-09-14 02:04:33,UTC-07:00,2024-09-13 17:52:30,2024-09-13 19:26:59,94,Rock Climbing,12.6,705.0,160,125,14,39,44,3,0,false,,,
2024-09-11 22:35:54,2024-09-13 01:52:36,UTC-07:00,2024-09-12 12:33:00,2024-09-12 13:11:59,38,Basketball,12.8,443.0,177,145,4,14,25,54,3,false,,,
2024-09-09 23:32:25,2024-09-11 00:43:06,UTC-07:00,2024-09-10 10:19:30,2024-09-10 11:14:59,55,Golf,12.1,529.0,161,136,3,19,64,14,0,false,,,
2024-09-09 00:27:03,2024-09-09 23:32:25,UTC-07:00,2024-09-09 12:01:30,2024-09-09 12:52:29,50,Weightlifting,12.2,320.0,148,119,12,77,11,0,0,false,,,
2024-09-07 02:04:47,2024-09-08 00:39:30,UTC-07:00,2024-09-07 18:09:00,2024-09-07 18:37:29,28,Activity,5.4,117.0,149,107,45,37,6,0,0,false,,,
2024-09-06 01:41:47,2024-09-07 02:04:47,UTC-07:00,2024-09-06 20:39:00,2024-09-06 21:50:59,71,Basketball,15.9,797.0,187,144,10,17,22,31,20,false,,,
2024-09-06 01:41:47,2024-09-07 02:04:47,UTC-07:00,2024-09-06 17:55:30,2024-09-06 19:35:59,100,Rock Climbing,13.8,879.0,169,132,1,36,54,9,0,false,,,
2024-09-06 01:41:47,2024-09-07 02:04:47,UTC-07:00,2024-09-06 12:45:00,2024-09-06 13:01:29,16,Walking,4.6,57.0,141,104,48,32,2,0,0,false,,,
2024-09-05 00:06:56,2024-09-06 01:41:47,UTC-07:00,2024-09-05 11:10:30,2024-09-05 12:00:29,49,Weightlifting,6.7,235.0,145,112,36,63,1,0,0,false,,,
2024-09-03 01:43:53,2024-09-03 23:34:11,UTC-07:00,2024-09-03 17:06:00,2024-09-03 17:38:59,32,Powerlifting,6.6,205.0,154,119,13,75,12,0,0,false,,,
2024-09-02 02:18:55,2024-09-03 01:43:53,UTC-07:00,2024-09-02 15:37:30,2024-09-02 16:05:59,28,Weightlifting,6.7,193.0,152,123,10,59,31,0,0,false,,,
2024-09-01 00:53:12,2024-09-02 02:18:55,UTC-07:00,2024-09-01 14:54:00,2024-09-01 16:08:59,74,Hiking/Rucking,9.3,401.0,167,116,30,44,18,3,0,false,,,
2024-09-01 00:53:12,2024-09-02 02:18:55,UTC-07:00,2024-09-01 14:15:00,2024-09-01 14:37:29,22,Swimming,4.9,78.0,143,105,36,41,5,0,0,false,,,
2024-09-01 00:53:12,2024-09-02 02:18:55,UTC-07:00,2024-09-01 12:43:30,2024-09-01 13:25:29,41,Swimming,10.1,368.0,166,134,2,34,43,21,0,false,,,
2024-08-29 23:56:37,2024-08-31 02:31:08,UTC-07:00,2024-08-30 17:43:30,2024-08-30 19:07:29,83,Rock Climbing,15.0,879.0,177,142,2,11,52,34,1,false,,,
2024-08-28 23:03:13,2024-08-29 23:56:37,UTC-07:00,2024-08-29 17:00:00,2024-08-29 18:01:29,61,Weightlifting,9.2,293.0,151,113,36,50,10,0,0,false,,,
2024-08-28 00:35:18,2024-08-28 23:03:13,UTC-07:00,2024-08-28 20:30:00,2024-08-28 20:56:59,26,Weightlifting,6.2,170.0,150,121,12,71,17,0,0,false,,,
2024-08-27 00:15:33,2024-08-28 00:35:18,UTC-07:00,2024-08-27 12:13:30,2024-08-27 12:49:29,35,Weightlifting,6.9,224.0,154,120,11,70,19,0,0,false,,,
2024-08-26 01:03:24,2024-08-27 00:15:33,UTC-07:00,2024-08-26 16:04:00,2024-08-26 17:00:00,56,Weightlifting,6.4,217.0,137,105,39,46,1,0,0,false,,,
2024-08-25 00:54:16,2024-08-26 01:03:24,UTC-07:00,2024-08-25 15:21:00,2024-08-25 17:20:59,119,Rock Climbing,14.8,1017.0,168,131,12,25,48,15,0,false,,,
2024-08-23 00:10:33,2024-08-24 00:23:28,UTC-07:00,2024-08-23 15:45:00,2024-08-23 16:30:00,45,Golf,6.4,198.0,147,103,17,35,15,0,0,false,,,
2024-08-21 00:48:42,2024-08-21 23:02:50,UTC-07:00,2024-08-21 16:45:00,2024-08-21 18:32:59,107,Rock Climbing,13.2,831.0,162,127,5,51,41,3,0,false,,,
2024-08-18 23:33:56,2024-08-19 23:22:03,UTC-07:00,2024-08-19 11:22:30,2024-08-19 15:30:59,248,Golf,13.1,1038.0,154,108,55,36,5,0,0,false,,,
2024-08-18 03:34:16,2024-08-18 23:33:56,UTC-07:00,2024-08-18 12:58:30,2024-08-18 14:43:29,104,Rock Climbing,13.6,868.0,167,130,2,49,40,9,0,false,,,
2024-08-17 00:54:06,2024-08-18 03:34:16,UTC-07:00,2024-08-17 15:40:30,2024-08-17 19:30:59,230,Golf,12.8,985.0,155,109,52,42,4,0,0,false,,,
2024-08-17 00:54:06,2024-08-18 03:34:16,UTC-07:00,2024-08-17 13:15:00,2024-08-17 13:43:29,28,Golf,10.4,314.0,171,144,0,13,47,40,0,false,,,
2024-08-14 03:12:05,2024-08-15 00:13:24,UTC-07:00,2024-08-14 13:22:30,2024-08-14 15:22:29,119,Golf,13.1,877.0,162,124,6,61,32,1,0,false,,,
2024-08-14 03:12:05,2024-08-15 00:13:24,UTC-07:00,2024-08-14 11:00:00,2024-08-14 11:40:00,40,Weightlifting,6.0,174.0,140,105,19,49,4,0,0,false,,,
2024-08-13 01:47:57,2024-08-14 03:12:05,UTC-07:00,2024-08-13 23:33:00,2024-08-14 00:20:59,47,Weightlifting,10.7,288.0,151,118,13,79,8,0,0,false,,,
2024-08-13 01:47:57,2024-08-14 03:12:05,UTC-07:00,2024-08-13 20:25:30,2024-08-13 20:53:34,28,Golf,8.1,240.0,159,131,8,27,59,6,0,false,,,
2024-08-12 02:27:30,2024-08-13 01:47:57,UTC-07:00,2024-08-12 18:34:30,2024-08-12 20:00:39,86,Pickleball,11.0,575.0,173,121,13,53,32,1,0,false,,,
2024-08-12 02:27:30,2024-08-13 01:47:57,UTC-07:00,2024-08-12 12:55:30,2024-08-12 14:00:41,65,Rock Climbing,8.2,323.0,156,113,46,35,16,0,0,false,,,
2024-08-11 02:19:23,2024-08-12 02:27:30,UTC-07:00,2024-08-11 20:15:00,2024-08-11 20:46:38,31,Golf,6.0,158.0,144,112,24,51,12,0,0,false,,,
2024-08-10 03:44:54,2024-08-11 02:19:23,UTC-07:00,2024-08-10 16:24:00,2024-08-10 16:36:00,12,Walking,4.2,25.0,121,97,69,8,0,0,0,false,,,
2024-08-10 03:44:54,2024-08-11 02:19:23,UTC-07:00,2024-08-10 10:42:00,2024-08-10 11:40:15,58,Rock Climbing,11.9,540.0,170,135,0,24,66,10,0,false,,,
2024-08-09 01:15:24,2024-08-10 03:44:54,UTC-07:00,2024-08-09 22:03:00,2024-08-09 22:28:29,25,Weightlifting,5.8,142.0,144,116,24,63,12,0,0,false,,,
2024-08-08 01:36:29,2024-08-09 01:15:24,UTC-07:00,2024-08-08 23:27:01,2024-08-08 23:37:59,10,Cycling,7.5,133.0,181,150,0,5,35,53,7,true,144.66,16.18,-8.58
2024-08-08 01:36:29,2024-08-09 01:15:24,UTC-07:00,2024-08-08 23:04:54,2024-08-08 23:22:42,17,Weightlifting,9.2,91.0,137,114,28,70,2,0,0,false,,,
2024-08-08 01:36:29,2024-08-09 01:15:24,UTC-07:00,2024-08-08 14:35:36,2024-08-08 18:18:54,223,Golf,8.8,504.0,147,98,64,12,1,0,0,true,7386.66,206.93,-7.82
2024-08-07 00:00:00,2024-08-08 01:36:29,UTC-07:00,2024-08-07 21:40:00,2024-08-07 22:13:00,33,Weightlifting,11.6,194.0,149,119,24,51,25,0,0,false,,,
