Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-08-19 23:22:03,2024-08-21 00:48:42,UTC-07:00,2024-08-19 23:22:03,2024-08-20 04:33:37,38,18.4,241,304,94,88,59,63,635,127,79,61,false
2024-08-18 23:33:56,2024-08-19 23:22:03,UTC-07:00,2024-08-18 23:33:56,2024-08-19 08:15:46,69,18.3,443,516,214,114,115,73,643,127,86,49,false
2024-08-18 03:34:16,2024-08-18 23:33:56,UTC-07:00,2024-08-18 03:34:16,2024-08-18 09:57:21,53,19.6,345,381,152,63,130,36,650,127,90,49,false
2024-08-17 00:54:06,2024-08-18 03:34:16,UTC-07:00,2024-08-17 00:54:06,2024-08-17 06:20:28,43,18.9,261,322,113,50,98,61,615,127,81,66,false
2024-08-16 02:12:50,2024-08-17 00:54:06,UTC-07:00,2024-08-16 02:12:50,2024-08-16 08:52:54,47,18.3,242,395,126,80,36,153,519,127,61,53,false
2024-08-15 00:13:24,2024-08-16 02:12:50,UTC-07:00,2024-08-15 17:40:00,2024-08-15 20:00:00,17,20.7,108,140,70,24,14,32,628,127,81,,true
2024-08-15 00:13:24,2024-08-16 02:12:50,UTC-07:00,2024-08-15 00:13:24,2024-08-15 08:26:05,64,18.2,410,492,143,93,174,82,645,127,83,63,false
2024-08-14 03:12:05,2024-08-15 00:13:24,UTC-07:00,2024-08-14 03:12:05,2024-08-14 10:04:30,53,18.7,338,411,155,71,112,73,634,127,82,72,false
2024-08-13 01:47:57,2024-08-14 03:12:05,UTC-07:00,2024-08-13 01:47:57,2024-08-13 09:59:40,66,18.9,402,491,154,113,135,89,610,127,81,65,false
2024-08-12 02:27:30,2024-08-13 01:47:57,UTC-07:00,2024-08-12 16:00:00,2024-08-12 16:24:00,4,20.9,22,24,20,2,0,2,614,127,94,,true
2024-08-12 02:27:30,2024-08-13 01:47:57,UTC-07:00,2024-08-12 02:27:30,2024-08-12 09:19:40,62,18.3,325,410,99,69,157,85,527,127,79,65,false
2024-08-11 02:19:23,2024-08-12 02:27:30,UTC-07:00,2024-08-11 17:59:52,2024-08-11 19:35:02,14,18.3,85,95,46,23,16,10,608,127,91,,true
2024-08-11 02:19:23,2024-08-12 02:27:30,UTC-07:00,2024-08-11 02:19:23,2024-08-11 09:00:15,53,19.2,337,398,167,76,94,61,639,127,84,68,false
2024-08-10 03:44:54,2024-08-11 02:19:23,UTC-07:00,2024-08-10 03:44:54,2024-08-10 07:59:32,36,18.5,209,254,118,31,60,45,590,127,82,48,false
2024-08-09 01:15:24,2024-08-10 03:44:54,UTC-07:00,2024-08-09 17:50:00,2024-08-09 18:45:00,4,20.3,24,55,16,8,0,31,610,127,70,,true
2024-08-09 01:15:24,2024-08-10 03:44:54,UTC-07:00,2024-08-09 01:15:24,2024-08-09 08:44:53,63,19.1,362,437,203,95,64,75,572,123,83,,false
2024-08-08 01:36:29,2024-08-09 01:15:24,UTC-07:00,2024-08-08 08:30:00,2024-08-08 10:02:00,10,18.5,62,92,26,15,21,30,600,123,84,,true
2024-08-08 01:36:29,2024-08-09 01:15:24,UTC-07:00,2024-08-08 01:36:29,2024-08-08 06:52:17,54,18.5,289,315,182,42,65,26,536,0,91,,false
